 written on 25Nov2024 at 14:44:44 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    6    4   -0.75376401E-04  0.61542995E-04
    1    5   -0.38052497E-03  0.75389389E-04
    2    5   -0.18012136E-02 -0.73395229E-04
    3    5   -0.84406782E-02 -0.66095876E-02
    4    5    0.29182893E-03  0.19160760E-03
    5    5    0.15496826E-02  0.11734470E-02
    6    5   -0.20183015E-02  0.40597214E-03
    1    6   -0.87142730E-04  0.91500533E-04
    2    6   -0.18966043E-02 -0.63097939E-03
    3    6   -0.35730453E-01  0.52360575E-04
    4    6    0.18214458E-04  0.70656334E-04
    5    6    0.31003563E-02 -0.70962732E-03
    6    6   -0.32906122E-04 -0.19981915E-03

   -4    1    0
    1    1   -0.21762241E-02  0.17501916E-04
    2    1   -0.87190456E-04 -0.94156281E-04
    3    1   -0.41841830E-05  0.27014582E-04
    4    1    0.31885762E-02  0.22629539E-02
    5    1   -0.18157353E-03 -0.79836671E-04
    6    1    0.54683614E-04 -0.19797912E-04
    1    2   -0.57503115E-04  0.51046456E-04
    2    2   -0.13314895E-02 -0.84142945E-03
    3    2   -0.19977578E-01 -0.29899215E-03
    4    2   -0.86340380E-04  0.18010431E-04
    5    2    0.87672319E-03 -0.40210370E-03
    6    2    0.30624166E-03 -0.48420713E-03
    1    3   -0.72196835E-04  0.94909070E-04
    2    3   -0.21366173E-01  0.40869196E-03
    3    3   -0.11003423E-01 -0.12604093E-03
    4    3    0.18790667E-04  0.66955933E-03
    5    3    0.26090522E-01 -0.92731932E-03
    6    3    0.24600430E-01 -0.70198425E-02
    1    4    0.82870534E-02 -0.44702827E-02
    2    4    0.47862124E-06 -0.30938676E-05
    3    4    0.40032569E-03 -0.67707971E-03
    4    4   -0.10656733E-01 -0.17600382E-04
    5    4    0.11992974E-03 -0.33251101E-04
    6    4    0.48837566E-04 -0.34875218E-04
    1    5   -0.32430684E-03  0.41114932E-04
    2    5    0.88183889E-03 -0.24641830E-03
    3    5    0.47775877E-01  0.69705180E-02
    4    5    0.99408642E-04  0.24323693E-04
    5    5   -0.15265689E-02 -0.82554790E-03
    6    5    0.24034254E-03 -0.42824619E-03
    1    6   -0.41885192E-04  0.18534870E-04
    2    6   -0.52946676E-03 -0.38103816E-03
    3    6    0.10991883E-01 -0.96231890E-03
    4    6    0.68236845E-04  0.20909923E-04
    5    6   -0.56813357E-03 -0.28117377E-03
    6    6   -0.21580163E-02  0.17931168E-02

   -3   -6    0
    1    1   -0.10460371E-01  0.87652334E-04
    2    1    0.28314110E-04 -0.26561725E-04
    3    1   -0.45503010E-04 -0.12619891E-03
    4    1    0.41057599E-02 -0.16323904E-02
    5    1    0.29870128E-04  0.51615202E-04
    6    1   -0.51211513E-04 -0.17622012E-04
    1    2    0.76800757E-04  0.14100746E-05
    2    2   -0.30005812E-03 -0.12137027E-03
    3    2   -0.10861359E-01 -0.84658319E-02
    4    2    0.11615793E-04  0.52031183E-04
    5    2    0.18515352E-02 -0.17574627E-03
    6    2   -0.17705246E-02  0.38949831E-03
    1    3    0.59550747E-05  0.18190829E-03
    2    3   -0.75119294E-02  0.58566938E-02
    3    3   -0.25975124E-01  0.63301230E-03
    4    3    0.11487409E-03  0.37850728E-03
    5    3    0.20598249E-01  0.13690752E-02
    6    3    0.65044921E-02 -0.63052149E-02
    1    4    0.11216811E-01 -0.32581149E-02
    2    4    0.29385275E-04 -0.10942680E-04
    3    4    0.14785053E-03 -0.60328179E-03
    4    4   -0.36385207E-02 -0.87683657E-04
    5    4    0.93718826E-04 -0.34304944E-04
    6    4   -0.42057890E-05  0.27171871E-04
    1    5   -0.17085083E-03 -0.76683061E-04
    2    5    0.16807584E-02 -0.14783219E-03
    3    5    0.39909637E-01 -0.30660624E-02
    4    5    0.38688428E-04  0.98201002E-05
    5    5    0.51850369E-04 -0.26839305E-03
    6    5   -0.16954175E-02  0.45897005E-03
    1    6   -0.31950554E-04  0.28396551E-04
    2    6   -0.16842655E-02 -0.75409728E-04
    3    6    0.10501281E-01  0.99182796E-02
    4    6   -0.35233672E-04 -0.24838776E-04
    5    6   -0.17706191E-02 -0.13370560E-03
    6    6    0.98293302E-05 -0.24321766E-03

   -3   -5    0
    1    1   -0.30459079E-02 -0.27450962E-04
    2    1    0.10605707E-03  0.82330610E-04
    3    1    0.26414862E-03  0.29595170E-03
    4    1    0.31884847E-02  0.22589653E-02
    5    1    0.89817607E-04  0.56748663E-04
    6    1    0.16546990E-04 -0.36355935E-04
    1    2    0.62399610E-04 -0.84074273E-04
    2    2    0.11883856E-02  0.37005129E-03
    3    2    0.48045035E-01  0.24730844E-02
    4    2   -0.47431186E-04  0.21163651E-04
    5    2   -0.39235076E-03  0.16669020E-02
    6    2   -0.77713585E-03  0.26790859E-03
    1    3   -0.26979390E-03 -0.15017168E-04
    2    3   -0.11760433E-01 -0.26180643E-02
    3    3    0.88452916E-02  0.11708019E-03
    4    3   -0.40091968E-03 -0.20509224E-03
    5    3   -0.11637161E-01 -0.18866066E-02
